Depth_wrt_startup,Correction_depth,heav_data,cude_tra_data
0.0,1404.619,0.0,0.5
0.0,1404.619,0.0,0.5
-0.009177072485571036,1403.5291125174685,-9.177072485571036e-05,0.5
-0.009177072485571036,1403.5291125174685,-0.00017390552360157114,0.5
-0.0020389345176487494,1404.376852058815,-0.00017557593517561511,0.5
-0.0020389345176487494,1404.376852058815,-0.00017620142591637662,0.5
-0.0020389345176487494,1404.376852058815,-0.00017588336045348008,0.5
-0.0020389345176487494,1404.376852058815,-0.00017471768473460578,0.5
0.001020089644208244,1404.7401478863255,-0.00014220474654537597,0.5
0.001020089644208244,1404.7401478863255,-0.00011223207844234225,0.5
0.001020089644208244,1404.7401478863255,-8.469551675740019e-05,0.5
0.001020089644208244,1404.7401478863255,-5.948913365716534e-05,0.5
0.007138137967922259,1405.4667395413464,2.467454003847201e-05,0.5
0.007138137967922259,1405.4667395413464,0.00010029847366435326,0.5
0.01835538974190981,1406.7989227965286,0.0002800310392992001,0.5
0.01835538974190981,1406.7989227965286,0.0004403901931740663,0.5
0.024473438065623826,1407.5255144515495,0.0006436919639327156,0.5
0.024473438065623826,1407.5255144515495,0.0008234450977958364,0.5
0.03569006745422748,1408.857623790999,0.0010932719866697026,0.5
0.03569006745422748,1408.857623790999,0.0013306498267228336,0.5
0.044867762325182386,1409.9475851892632,0.0016294135823465864,0.5
0.044867762325182386,1409.9475851892632,0.001890153894496231,0.5
0.0632225296817083,1412.127434070059,0.002298917079523689,0.5
0.0632225296817083,1412.127434070059,0.002655309360650783,0.5
0.06424261932591657,1412.2485819563844,0.002972986763303996,0.5
0.06424261932591657,1412.2485819563844,0.0032440314918753678,0.5
0.07749880561755287,1413.8229131527519,0.0036043134530465886,0.5
0.07749880561755287,1413.8229131527519,0.003910545650835455,0.5
0.0897355246503648,1415.2761703785266,0.004288969090919376,0.5
0.0897355246503648,1415.2761703785266,0.0046081053415403085,0.5
0.10503126784503372,1417.092723431812,0.005025244872338136,0.5
0.10503126784503372,1417.092723431812,0.0053755442256944895,0.5
0.11216878342757208,1417.9403890574254,0.005735311078412119,0.5
0.11216878342757208,1417.9403890574254,0.006030424690465924,0.5
0.12440550246038401,1419.3936462832,0.006388242008190139,0.5
0.12440550246038401,1419.3936462832,0.006678336384100982,0.5
0.1346026645901633,1420.604681652057,0.007008001261798028,0.5
0.1346026645901633,1420.604681652057,0.0072696596454163796,0.5
0.1498984077848322,1422.4212347053422,0.007621761324392504,0.5
0.1498984077848322,1422.4212347053422,0.007900544028849052,0.5
0.1600955699146115,1423.6322700741991,0.008213917364013494,0.5
0.1600955699146115,1423.6322700741991,0.008454883778841423,0.5
0.1753913131092804,1425.4488231274843,0.008782436565239042,0.5
0.1753913131092804,1425.4488231274843,0.009033321890170705,0.5
0.1825294510772027,1426.2965626688308,0.00928533345283757,0.5
0.1825294510772027,1426.2965626688308,0.00946571719197356,0.5
0.18966758904512498,1427.144302210177,0.009652115350915307,0.5
0.18966758904512498,1427.144302210177,0.009771613117208302,0.5
0.2019043080779369,1428.597559435952,0.009952670231614075,0.5
0.2019043080779369,1428.597559435952,0.010065858283421202,0.5
0.21006191330468355,1429.5663729478908,0.010198974290897975,0.5
0.21006191330468355,1429.5663729478908,0.01026778382617258,0.5
0.21821951853143018,1430.5351864598297,0.01035994954105633,0.5
0.21821951853143018,1430.5351864598297,0.010391098936746423,0.5
0.23351526172609913,1432.351739513115,0.010520135330130463,0.5
0.23351526172609913,1432.351739513115,0.010583667407525447,0.5
0.2304562375642421,1431.9884436856046,0.010557337698524736,0.5
0.2304562375642421,1431.9884436856046,0.010480854271931472,0.5
0.24269295659705403,1433.4417009113793,0.010481982106965996,0.5
0.24269295659705403,1433.4417009113793,0.010430587247962237,0.5
0.25187002908262507,1434.5315883939106,0.010423949663474754,0.5
0.25187002908262507,1434.5315883939106,0.010365856089118646,0.5
0.25492905324448206,1434.894884221421,0.010292332833371125,0.5
0.25492905324448206,1434.894884221421,0.010174700239031501,0.5
0.2590081670505473,1435.3793279352572,0.010058748540991334,0.5
0.2590081670505473,1435.3793279352572,0.009904098270050227,0.5
0.270224796439151,1436.7114372747064,0.009827558828739017,0.5
0.270224796439151,1436.7114372747064,0.009709535537415232,0.5
0.2743039102452163,1437.1958809885423,0.009595558035597402,0.5
0.2743039102452163,1437.1958809885423,0.009445000493783369,0.5
0.2743039102452163,1437.1958809885423,0.00926227370368182,0.5
0.2743039102452163,1437.1958809885423,0.00905150822407202,0.5
0.28042195856893026,1437.9224726435632,0.008877742234539979,0.5
0.28042195856893026,1437.9224726435632,0.008676964132788442,0.5
0.28450107237499556,1438.4069163573993,0.00849367015860877,0.5
0.28450107237499556,1438.4069163573993,0.008286237231054022,0.5
0.29061912069870954,1439.1335080124202,0.008119296893336616,0.5
0.29061912069870954,1439.1335080124202,0.007928454104924269,0.5
0.29061912069870954,1439.1335080124202,0.007717053324828535,0.5
0.29061912069870954,1439.1335080124202,0.007488207356118232,0.5
0.29367876724595043,1439.4968777556635,0.007275401412970777,0.5
0.29367876724595043,1439.4968777556635,0.007047499057073214,0.5
0.2967377914078074,1439.860173583174,0.0068377396830986105,0.5
0.2967377914078074,1439.860173583174,0.006614767548105974,0.5
0.29367876724595043,1439.4968777556635,0.006350428547253502,0.5
0.29367876724595043,1439.4968777556635,0.006080771303750009,0.5
0.3008162828284888,1440.344543381277,0.005879051083903499,0.5
0.3008162828284888,1440.344543381277,0.005668107630622123,0.5
0.2987773483108401,1440.102395440092,0.005429528639339286,0.5
