__time,/br5/depth_wrt_startup/data
1711615041.648245,-0.006118048
1711615041.699094,0.008158228
1711615041.749060,0.008158228
1711615041.799033,0.013256809
1711615041.849460,0.013256809
1711615041.898192,0.038749714
1711615041.946740,0.038749714
1711615041.997347,0.046907319
1711615042.049599,0.046907319
1711615042.097306,0.054045457
1711615042.148755,0.054045457
1711615042.197188,0.072400225
1711615042.250036,0.072400225
1711615042.297385,0.090754992
1711615042.348844,0.090754992
1711615042.399196,0.107070202
1711615042.450155,0.107070202
1711615042.498472,0.124406125
1711615042.548911,0.124406125
1711615042.597148,0.139701868
1711615042.648679,0.139701868
1711615042.697599,0.151937965
1711615042.749883,0.151937965
1711615042.798761,0.180490517
1711615042.849945,0.180490517
1711615042.899523,0.195786260
1711615042.950365,0.195786260
1711615042.998295,0.212101470
1711615043.049458,0.212101470
1711615043.098730,0.225357034
1711615043.149681,0.225357034
1711615043.198757,0.245751358
1711615043.250176,0.245751358
1711615043.297727,0.256969233
1711615043.348732,0.256969233
1711615043.399290,0.278383024
1711615043.450254,0.278383024
1711615043.503717,0.287560719
1711615043.553360,0.287560719
1711615043.597685,0.298777348
1711615043.650298,0.298777348
1711615043.700109,0.315092559
1711615043.750986,0.315092559
1711615043.798948,0.329368835
1711615043.850172,0.329368835
1711615043.900034,0.337525818
1711615043.953883,0.337525818
1711615044.000092,0.353842273
1711615044.050210,0.353842273
1711615044.097552,0.351802093
1711615044.151398,0.351802093
1711615044.200323,0.365058902
1711615044.247687,0.365058902
1711615044.296120,0.372196418
1711615044.346644,0.372196418
1711615044.401742,0.380354645
1711615044.449053,0.380354645
1711615044.499620,0.382393580
1711615044.546659,0.382393580
1711615044.600156,0.384433759
1711615044.646212,0.384433759
1711615044.697057,0.389532340
1711615044.745637,0.389532340
1711615044.796701,0.397689323
1711615044.846574,0.397689323
1711615044.895926,0.397689323
1711615044.945926,0.397689323
1711615044.995347,0.400748970
1711615045.048797,0.400748970
1711615045.095452,0.400748970
1711615045.143315,0.400748970
1711615045.196172,0.400748970
1711615045.247621,0.400748970
1711615045.297201,0.404828083
1711615045.346056,0.404828083
1711615045.394466,0.402787904
1711615045.448672,0.402787904
1711615045.498332,0.400748970
1711615045.549807,0.400748970
1711615045.599778,0.398708790
1711615045.648610,0.398708790
1711615045.698042,0.399729502
1711615045.748370,0.399729502
1711615045.796840,0.397689323
1711615045.848885,0.397689323
1711615045.898386,0.393610209
1711615045.945606,0.393610209
1711615045.998694,0.392590742
1711615046.050287,0.392590742
1711615046.096262,0.392590742
1711615046.148206,0.392590742
1711615046.196497,0.386472694
1711615046.249515,0.386472694
1711615046.298900,0.383413047
1711615046.353987,0.383413047
1711615046.400056,0.382393580
1711615046.449757,0.382393580
1711615046.499867,0.381374113
1711615046.549590,0.381374113
