__time,/br5/depth_wrt_startup/data
1711614444.513883,0.008157605
1711614444.562546,0.025492905
1711614444.612755,0.025492905
1711614444.663208,0.033650511
1711614444.712026,0.033650511
1711614444.762733,0.048946254
1711614444.812603,0.048946254
1711614444.863048,0.063222530
1711614444.913626,0.063222530
1711614444.963166,0.079537740
1711614445.014468,0.079537740
1711614445.061444,0.081577297
1711614445.112728,0.081577297
1711614445.160182,0.101972244
1711614445.212859,0.101972244
1711614445.261815,0.114208340
1711614445.311496,0.114208340
1711614445.362928,0.126444437
1711614445.413365,0.126444437
1711614445.463542,0.140720713
1711614445.512360,0.140720713
1711614445.562743,0.149898408
1711614445.615985,0.149898408
1711614445.660858,0.166213618
1711614445.714323,0.166213618
1711614445.763513,0.184569008
1711614445.814926,0.184569008
1711614445.865031,0.197824572
1711614445.914055,0.197824572
1711614445.963967,0.205982799
1711614446.015455,0.205982799
1711614446.063996,0.216179962
1711614446.114441,0.216179962
1711614446.164028,0.227396591
1711614446.216594,0.227396591
1711614446.262479,0.238613220
1711614446.313573,0.238613220
1711614446.363092,0.247790915
1711614446.415745,0.247790915
1711614446.463002,0.261047724
1711614446.513744,0.261047724
1711614446.564631,0.266146305
1711614446.615136,0.266146305
1711614446.662827,0.283480983
1711614446.712152,0.283480983
1711614446.762017,0.291639210
1711614446.816046,0.291639210
1711614446.862883,0.296737791
1711614446.911410,0.296737791
1711614446.963151,0.308973888
1711614447.014773,0.308973888
1711614447.061798,0.316112648
1711614447.114537,0.316112648
1711614447.162519,0.324269631
1711614447.212827,0.324269631
1711614447.263545,0.330387680
1711614447.313367,0.330387680
1711614447.363591,0.337526440
1711614447.412314,0.337526440
1711614447.461607,0.340584842
1711614447.515079,0.340584842
1711614447.606171,0.344663956
1711614447.624889,0.344663956
1711614447.661300,0.349762537
1711614447.711166,0.349762537
1711614447.764336,0.354861118
1711614447.811660,0.354861118
1711614447.861628,0.351802716
1711614447.915876,0.351802716
1711614447.963120,0.354861118
1711614448.014193,0.354861118
1711614448.062807,0.357920764
1711614448.114861,0.357920764
1711614448.163635,0.355880585
1711614448.214969,0.355880585
1711614448.262282,0.356901297
1711614448.314590,0.356901297
1711614448.364020,0.355880585
1711614448.412698,0.355880585
1711614448.466077,0.350782004
1711614448.512713,0.350782004
1711614448.561080,0.356901297
1711614448.611753,0.356901297
1711614448.665593,0.354861118
1711614448.711092,0.354861118
1711614448.767579,0.354861118
1711614448.812447,0.354861118
1711614448.861978,0.350782004
1711614448.914332,0.350782004
1711614448.963399,0.346704135
1711614449.012837,0.346704135
1711614449.061860,0.347723602
1711614449.117131,0.347723602
1711614449.166060,0.349762537
1711614449.216568,0.349762537
1711614449.261825,0.348743069
1711614449.315598,0.348743069
1711614449.364987,0.343644488
1711614449.415651,0.343644488
